;time_plan;line;dest;delay;request;rideID
184;2022-10-31T23:10:00+01:00;M10;Moabit, Lüneburger Str.;-1.0;2022-10-31 23:10:13;1920
185;2022-10-31T23:10:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 23:10:13;27178
186;2022-10-31T23:11:00+01:00;M8;Moabit, Lüneburger Str.;2.0;2022-10-31 23:13:15;3607
187;2022-10-31T23:12:00+01:00;S3;S Spandau;0.0;2022-10-31 23:10:13;14921
188;2022-10-31T23:13:00+01:00;S3;S Erkner;0.0;2022-10-31 23:13:15;14408
189;2022-10-31T23:13:00+01:00;M8;Ahrensfelde/Stadtgrenze;0.0;2022-10-31 23:13:15;3657
191;2022-10-31T23:14:00+01:00;S5;S Westkreuz;0.0;2022-10-31 23:13:15;19510
190;2022-10-31T23:14:00+01:00;147;U Leopoldplatz via S+U Wedding;3.0;2022-10-31 23:16:17;15726
192;2022-10-31T23:17:00+01:00;120;S+U Wittenau -> Bus 220;0.0;2022-10-31 23:16:17;3136
193;2022-10-31T23:17:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 23:16:17;1775
194;2022-10-31T23:17:00+01:00;245;S+U Zoologischer Garten;0.0;2022-10-31 23:16:17;10315
195;2022-10-31T23:17:00+01:00;S7;S Grunewald;0.0;2022-10-31 23:16:17;21258
196;2022-10-31T23:17:00+01:00;123;Saatwinkler Damm/Mäckeritzwiesen;0.0;2022-10-31 23:16:17;9731
198;2022-10-31T23:18:00+01:00;S7;S Ahrensfelde;0.0;2022-10-31 23:16:17;20370
199;2022-10-31T23:18:00+01:00;U5;Hönow;0.0;2022-10-31 23:16:17;12933
197;2022-10-31T23:18:00+01:00;RE5;Wünsdorf-Waldstadt, Bhf;0.0;2022-10-31 23:16:17;38
201;2022-10-31T23:19:00+01:00;RE7;Dessau, Hbf;0.0;2022-10-31 23:19:18;1144
200;2022-10-31T23:19:00+01:00;M5;Moabit, Lüneburger Str.;-2.0;2022-10-31 23:19:18;3210
202;2022-10-31T23:20:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 23:19:18;27178
203;2022-10-31T23:20:00+01:00;M10;Moabit, Lüneburger Str.;2.0;2022-10-31 23:22:19;1920
204;2022-10-31T23:21:00+01:00;S5;S Strausberg, in Mahlsdorf bitte umsteigen;0.0;2022-10-31 23:19:18;19044
205;2022-10-31T23:22:00+01:00;S9;S Spandau;0.0;2022-10-31 23:22:19;24384
206;2022-10-31T23:22:00+01:00;M85;S Lichterfelde Süd via Hindenburgdamm;0.0;2022-10-31 23:22:19;29372
207;2022-10-31T23:22:00+01:00;142;S Ostbahnhof via U Rosenthaler Platz;0.0;2022-10-31 23:22:19;15545
208;2022-10-31T23:23:00+01:00;S9;Flughafen BER - Terminal 1-2;0.0;2022-10-31 23:22:19;23881
209;2022-10-31T23:23:00+01:00;147;U Märkisches Museum via S+U Friedrichstr.;0.0;2022-10-31 23:22:19;15754
212;2022-10-31T23:27:00+01:00;FEX;Flughafen BER - Terminal 1-2;0.0;2022-10-31 23:25:20;331
210;2022-10-31T23:27:00+01:00;S7;S Potsdam Hauptbahnhof;0.0;2022-10-31 23:25:20;20863
211;2022-10-31T23:27:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 23:25:20;1775
213;2022-10-31T23:28:00+01:00;M5;Hohenschönhausen, Zingster Str.;0.0;2022-10-31 23:28:21;3267
